"Feature name","Data Type","Feature Desciption","used"
"rx_hum_64_pmpm_ct","float","count per month of prescriptions related to OPHTHALMOLOGY drugs in the past one year {Based on Humana drug classification}","no"
"bh_ip_snf_allowed_pmpm_cost","double","allowed cost per month for behavioral health claims related to skilled nursing inpatient facilities in the past one year","no"
"rx_hum_30_pmpm_cost","float","cost per month of prescriptions related to DERMATOLOGY drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_78_pmpm_ct","float","count per month of prescriptions related to PAIN MGMT - VISCOSUPPLEMENTS drugs in the past one year {Based on Humana drug classification}","no"
"cms_partd_ra_factor_amt","float","Medicare Part D Risk Adjustment Factor Amount","yes"
"total_ip_rehab_ds_clm","integer","days since last claim for overall claims related to rehabilitation inpatient facilities in the past one year","no"
"bh_otod_pmpm_ct","float","count per month of behavioral health claims related to other ocd in the past one year","no"
"cmsd2_eye_optic_nerve_pmpm_ct","float","claims per month related to diseases of the eye and adnexa : disorders of optic nerve and visual pathways in the past one year {based on CMS diagnosis code level2}","no"
"cci_ren_s_pmpm_ct","float","count per month of claims related to severe renal disease in the past one year {Based on Charlson Comorbidity Index Categories}","no"
"cnt_cp_print_6","integer","count per month of member interactions via print with a lag of _6 from the score date in the past one year","yes"
"bh_atot_pmpm_ct","float","count per month of behavioral health claims related to other anxiety trauma related disorder in the past one year","no"
"cmsd2_ext_shock/electric/airtemppress_pmpm_ct","float","claims per month related to external causes of morbidity : exposure to electric current, radiation and extreme ambient air temperature and pressure in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_pre_pre_supervision_pmpm_ct","float","claims per month related to pregnancy, childbirth and the puerperium : supervision of high risk pregnancy in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_mus_polyarthropath_pmpm_ct","float","claims per month related to diseases of the musculoskeletal system and connective tissue : inflammatory polyarthropathies in the past one year {based on CMS diagnosis code level2}","no"
"med_ip_maternity_ds_clm","integer","days since last claim for non-behavioral health claims related to maternity inpatient facilities in the past one year","no"
"bh_edot_pmpm_ct","float","count per month of behavioral health claims related to eating disorder other in the past one year","no"
"cnt_cp_emails_6","integer","count per month of member interactions via emails with a lag of _6 from the score date in the past one year","yes"
"credit_num_autobank_new","double","Number Auto Bank Loan Accts New w/in 12 months","no"
"rx_hum_43_pmpm_ct","float","count per month of prescriptions related to GAUCHER DISEASE drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_76_pmpm_ct","float","count per month of prescriptions related to PAIN MGMT - NARCOTIC ANALGESICS drugs in the past one year {Based on Humana drug classification}","yes"
"rx_tier_2_pmpm_ct","float","count per month of prescriptions related to Tier 2 drugs in the past one year","yes"
"cms_ma_plan_ind","integer","Binary indicator that a member is on a Medicare Advantage plan","no"
"bh_atad_pmpm_ct","float","count per month of behavioral health claims related to anxiety trauma related: adjustment disorder in the past one year","no"
"rev_pm_prvt_pmpm_cd_ct","float","claim lines per month for a revenue code related to preventive services in the past one year","no"
"rx_hum_03_pmpm_cost","float","cost per month of prescriptions related to ANTI-INFECTIVES - HEPATITIS B AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"rwjf_hiv_rate","float","Health Outcomes - HIV prevalence","yes"
"cci_lvr_m_pmpm_ct","float","count per month of claims related to mild liver disease in the past one year {Based on Charlson Comorbidity Index Categories}","no"
"cmsd2_res_flu/pneumonia_pmpm_ct","float","claims per month related to diseases of the respiratory system : influenza and pneumonia in the past one year {based on CMS diagnosis code level2}","no"
"rx_phar_cat_kroger_pmpm_ct","float","count per month of prescriptions purchased at kroger pharmacy in the past one year","no"
"rx_hum_40_pmpm_cost","float","cost per month of prescriptions related to GASTROINTESTINAL DISEASE - CONSTIPATION drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_can_mal_lymph/hema_pmpm_ct","float","claims per month related to neoplasms : malignant neoplasms of lymphoid, hematopoietic and related tissue in the past one year {based on CMS diagnosis code level2}","no"
"rwjf_poor_phy_hlth_days","float","Health Outcomes - Average number of physically unhealthy days reported in past 30 days (age-adjusted)","yes"
"cnt_cp_print_5","integer","count per month of member interactions via print with a lag of _5 from the score date in the past one year","yes"
"rev_pm_adultc_pmpm_cd_ct","float","claim lines per month for a revenue code related to adult care in the past one year","no"
"cmsd2_vco_fragment_pmpm_ct","float","claims per month related to factors influencing health status and contact with health services : retained foreign body fragments in the past one year {based on CMS diagnosis code level2}","no"
"rev_pm_gastro_pmpm_cd_ct","float","claim lines per month for a revenue code related to gastrointestinal services in the past one year","no"
"cmsd2_bld_hemo_anemia_pmpm_ct","float","claims per month related to diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism : hemolytic anemias in the past one year {based on CMS diagnosis code level2}","no"
"med_er_obs_ds_clm","integer","days since last claim for non-behavioral health claims related to emergency room observations in the past one year","no"
"cmsd2_can_in_situ_neo_pmpm_ct","float","claims per month related to neoplasms : in situ neoplasms in the past one year {based on CMS diagnosis code level2}","no"
"rucc_category","string","Member geographic information - Rural Urban Continuum Code","yes"
"cmsd2_ext_occ_3_wheel_pmpm_ct","float","claims per month related to external causes of morbidity : occupant of three-wheeled motor vehicle injured in transport accident in the past one year {based on CMS diagnosis code level2}","no"
"bh_er_allowed_pmpm_cost","double","allowed cost per month for behavioral health claims related to emergency room in the past one year","no"
"cnt_cp_print_3","integer","count per month of member interactions via print with a lag of _3 from the score date in the past one year","yes"
"cmsd2_vco_dnr_pmpm_ct","float","claims per month related to factors influencing health status and contact with health services : do not resuscitate status in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_91_pmpm_cost","float","cost per month of prescriptions related to THYROID drugs in the past one year {Based on Humana drug classification}","yes"
"rx_hum_71_pmpm_ct","float","count per month of prescriptions related to OPHTHALMOLOGY - STEROID AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_men_physiological_pmpm_ct","float","claims per month related to mental, behavioral and neurodevelopmental disorders : mental disorders due to known physiological conditions in the past one year {based on CMS diagnosis code level2}","no"
"cci_ple_pmpm_ct","float","count per month of claims related to hemiplegia or paraplegia in the past one year {Based on Charlson Comorbidity Index Categories}","no"
"bh_deot_pmpm_ct","float","count per month of behavioral health claims related to other depression in the past one year","no"
"rev_pm_inanci_pmpm_cd_ct","float","claim lines per month for a revenue code related to all-inclusive ancillary in the past one year","no"
"cmsd1_vco_pmpm_ct","float","claims per month related to factors influencing health status and contact with health services in the past one year {based on CMS diagnosis code level1}","yes"
"cmsd2_pre_puerperium_pmpm_ct","float","claims per month related to pregnancy, childbirth and the puerperium : complications predominantly related to the puerperium in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_36_pmpm_cost","float","cost per month of prescriptions related to ENDOCRINOLOGY drugs in the past one year {Based on Humana drug classification}","no"
"rev_pm_mri_pmpm_cd_ct","float","claim lines per month for a revenue code related to magnetic resonance imaging (mri) in the past one year","no"
"bh_otso_pmpm_ct","float","count per month of behavioral health claims related to other somatic in the past one year","no"
"rev_pm_speech_pmpm_cd_ct","float","claim lines per month for a revenue code related to speech pathology in the past one year","no"
"cmsd2_skn_bullous_pmpm_ct","float","claims per month related to diseases of the skin and subcutaneous tissue : bullous disorders in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_00_pmpm_cost","float","cost per month of prescriptions related to  drugs in the past one year {Based on Humana drug classification}","no"
"cci_dia_m_pmpm_ct","float","count per month of claims related to diabetes without chronic complications in the past one year {Based on Charlson Comorbidity Index Categories}","no"
"med_ip_mhsa_ds_clm","integer","days since last claim for non-behavioral health claims related to mental health and substance abuse inpatient facilities in the past one year","no"
"cnt_cp_emails_10","integer","count per month of member interactions via emails with a lag of _10 from the score date in the past one year","yes"
"rx_hum_60_pmpm_cost","float","cost per month of prescriptions related to NEUROLOGY - MULTIPLE SCLEROSIS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_mus_muscle_pmpm_ct","float","claims per month related to diseases of the musculoskeletal system and connective tissue : disorders of muscles in the past one year {based on CMS diagnosis code level2}","no"
"total_physician_office_allowed_pmpm_cost","double","allowed cost per month for overall claims related to physician office in the past one year","yes"
"rx_phar_cat_target_pmpm_ct","float","count per month of prescriptions purchased at target pharmacy in the past one year","no"
"rev_pm_bhts_pmpm_cd_ct","float","claim lines per month for a revenue code related to behavioral health treatments and services in the past one year","no"
"rx_hum_67_pmpm_cost","float","cost per month of prescriptions related to OPHTHALMOLOGY - ANTI-INFECTIVE AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"bh_ncml_pmpm_ct","float","count per month of behavioral health claims related to mild neuro cognition disorders in the past one year","no"
"rwjf_income_inequ_ratio","float","Social and Economic Factors - Ratio of household income at the 80th percentile to income at the 20th percentile","yes"
"cmsd2_can_mal_breast_pmpm_ct","float","claims per month related to neoplasms : malignant neoplasms of breast in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_eye_vitreous_pmpm_ct","float","claims per month related to diseases of the eye and adnexa : disorders of vitreous body and globe in the past one year {based on CMS diagnosis code level2}","yes"
"cmsd2_res_lung_pmpm_ct","float","claims per month related to diseases of the respiratory system : lung diseases due to external agents in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_neo_neo_maternal_pmpm_ct","float","claims per month related to certain conditions originating in the perinatal period : newborn affected by maternal factors and by complications of pregnancy, labor, and delivery in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_vco_blood_type_pmpm_ct","float","claims per month related to factors influencing health status and contact with health services : blood type in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_ext_occ_hvy_transport_pmpm_ct","float","claims per month related to external causes of morbidity : occupant of heavy transport vehicle injured in transport accident in the past one year {based on CMS diagnosis code level2}","no"
"credit_num_nonmtgcredit_60dpd","double","Number Non-Mortgage Loan Accts 60+ Days Past Due","no"
"rev_pm_dialys_pmpm_cd_ct","float","claim lines per month for a revenue code related to renal dialysis in the past one year","no"
"rx_hum_13_pmpm_ct","float","count per month of prescriptions related to CARDIOLOGY - CKD AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_62_pmpm_cost","float","cost per month of prescriptions related to NEUROLOGY - STIMULANTS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd1_bld_pmpm_ct","float","claims per month related to diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism in the past one year {based on CMS diagnosis code level1}","yes"
"cmsd2_dig_oral_pmpm_ct","float","claims per month related to diseases of the digestive system : diseases of oral cavity and salivary glands in the past one year {based on CMS diagnosis code level2}","no"
"rx_tier_3_pmpm_ct","float","count per month of prescriptions related to Tier 3 drugs in the past one year","yes"
"rx_hum_02_pmpm_ct","float","count per month of prescriptions related to ANTI-INFECTIVES drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_46_pmpm_ct","float","count per month of prescriptions related to HAE AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_75_pmpm_cost","float","cost per month of prescriptions related to PAIN MGMT - MUSCLE RELAXANTS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_end_nutr_def_pmpm_ct","float","claims per month related to endocrine, nutritional and metabolic diseases : other nutritional deficiencies in the past one year {based on CMS diagnosis code level2}","yes"
"cons_hxmh","integer","Managing Health - Index","yes"
"cmsd2_end_thyroid_pmpm_ct","float","claims per month related to endocrine, nutritional and metabolic diseases : disorders of thyroid gland in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_59_pmpm_cost","float","cost per month of prescriptions related to NEUROLOGY - MIGRAINE AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"cnt_cp_emails_4","integer","count per month of member interactions via emails with a lag of _4 from the score date in the past one year","yes"
"cmsd2_inj_inj_other_pmpm_ct","float","claims per month related to injury, poisoning and certain other consequences of external causes : other and unspecified effects of external causes in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_60_pmpm_ct","float","count per month of prescriptions related to NEUROLOGY - MULTIPLE SCLEROSIS drugs in the past one year {Based on Humana drug classification}","no"
"rwjf_men_hlth_prov_ratio","float","Clinical Care - Ratio of population to mental health providers","yes"
"bh_ndlr_pmpm_ct","float","count per month of behavioral health claims related to neuro development disorder: learning disability in the past one year","no"
"rx_hum_70_pmpm_cost","float","cost per month of prescriptions related to OPHTHALMOLOGY - NSAID AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_sns_genitourinary_pmpm_ct","float","claims per month related to symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified : symptoms and signs involving the genitourinary system in the past one year {based on CMS diagnosis code level2}","yes"
"rx_hum_38_pmpm_cost","float","cost per month of prescriptions related to FERTILITY drugs in the past one year {Based on Humana drug classification}","no"
"rev_pm_bha_pmpm_cd_ct","float","claim lines per month for a revenue code related to behavioral health accommodations in the past one year","no"
"bh_ip_acute_allowed_pmpm_cost","double","allowed cost per month for behavioral health claims related to acute inpatient facilities in the past one year","no"
"rx_hum_72_pmpm_cost","float","cost per month of prescriptions related to OSTEOPOROSIS drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_70_pmpm_ct","float","count per month of prescriptions related to OPHTHALMOLOGY - NSAID AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"cms_frailty_ind","integer","Binary indicator that a member is deemed frail {specific diagnoses, multiple serious chronic conditions, functional impairments or other factors}","yes"
"total_ip_rehab_admit_days_pmpm","double","admitted days per month for overall claims related to rehabilitation inpatient facilities in the past one year","no"
"cmsd2_ext_drowning_pmpm_ct","float","claims per month related to external causes of morbidity : accidental non-transport drowning and submersion in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_can_ben_end_pmpm_ct","float","claims per month related to neoplasms : benign neuroendocrine tumors in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_skn_radiation_pmpm_ct","float","claims per month related to diseases of the skin and subcutaneous tissue : radiation-related disorders of the skin and subcutaneous tissue in the past one year {based on CMS diagnosis code level2}","yes"
"cmsd2_dig_esoph/stomach_pmpm_ct","float","claims per month related to diseases of the digestive system : diseases of esophagus, stomach and duodenum in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_ear_external_pmpm_ct","float","claims per month related to diseases of the ear and mastoid process : diseases of external ear in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_neo_hematological_pmpm_ct","float","claims per month related to certain conditions originating in the perinatal period : hemorrhagic and hematological disorders of newborn in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_gus_f_pelvic_pmpm_ct","float","claims per month related to diseases of the genitourinary system : inflammatory diseases of female pelvic organs in the past one year {based on CMS diagnosis code level2}","no"
"bh_ip_maternity_allowed_pmpm_cost","double","allowed cost per month for behavioral health claims related to maternity inpatient facilities in the past one year","no"
"cnt_cp_livecall_4","integer","count per month of member interactions via livecall with a lag of _4 from the score date in the past one year","no"
"cmsd2_sns_fluid_pmpm_ct","float","claims per month related to symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified : abnormal findings on examination of other body fluids, substances and tissues, without diagnosis in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_41_pmpm_cost","float","cost per month of prescriptions related to GASTROINTESTINAL DISEASE - GERD drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_ear_middle_pmpm_ct","float","claims per month related to diseases of the ear and mastoid process : diseases of middle ear and mastoid in the past one year {based on CMS diagnosis code level2}","no"
"rx_phar_cat_walgreen_pmpm_ct","float","count per month of prescriptions purchased at walgreen pharmacy in the past one year","yes"
"rx_nonbh_pmpm_ct","float","count per month of prescriptions related to non behavioral health drugs in the past one year","yes"
"cmsd2_ano_ano_other_pmpm_ct","float","claims per month related to congenital malformations, deformations and chromosomal abnormalities : other congenital malformations in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_44_pmpm_ct","float","count per month of prescriptions related to GENITOURINARY drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_50_pmpm_ct","float","count per month of prescriptions related to IMMUNE SUPPRESSANTS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_ner_cns_inf_pmpm_ct","float","claims per month related to diseases of the nervous system : inflammatory diseases of the central nervous system in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_eye_cornea/iris_pmpm_ct","float","claims per month related to diseases of the eye and adnexa : disorders of sclera, cornea, iris and ciliary body in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_inj_elbow/arm_pmpm_ct","float","claims per month related to injury, poisoning and certain other consequences of external causes : injuries to the elbow and forearm in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_61_pmpm_cost","float","cost per month of prescriptions related to NEUROLOGY - PARKINSON AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_gus_breasts_pmpm_ct","float","claims per month related to diseases of the genitourinary system : disorders of breast in the past one year {based on CMS diagnosis code level2}","no"
"bh_ncot_pmpm_ct","float","count per month of behavioral health claims related to other neuro cognition disorders in the past one year","no"
"rwjf_std_infect_rate","float","Health Behaviors - Number of newly diagnosed chlamydia cases per 100K population","yes"
"cms_race_cd","string","Code indicating a member's race","yes"
"rwjf_median_house_income","float","Social and Economic Factors - Median household income","yes"
"rx_hum_27_pmpm_ct","float","count per month of prescriptions related to CHOLESTEROL - PCSK9 INHIBITORS drugs in the past one year {Based on Humana drug classification}","no"
"total_er_visit_ct_pmpm","double","visits per month for overall claims related to emergency room in the past one year","yes"
"total_ip_snf_admit_days_pmpm","double","admitted days per month for overall claims related to skilled nursing inpatient facilities in the past one year","no"
"cmsd2_bld_spleen_complications_pmpm_ct","float","claims per month related to diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism : intraoperative and postprocedural complications of the spleen in the past one year {based on CMS diagnosis code level2}","no"
"cnt_cp_print_4","integer","count per month of member interactions via print with a lag of _4 from the score date in the past one year","yes"
"cmsd1_can_pmpm_ct","float","claims per month related to neoplasms in the past one year {based on CMS diagnosis code level1}","yes"
"bh_otsl_pmpm_ct","float","count per month of behavioral health claims related to other sleep in the past one year","yes"
"rx_hum_63_pmpm_ct","float","count per month of prescriptions related to NUTRITIONAL/ VITAMIN drugs in the past one year {Based on Humana drug classification}","no"
"rx_bh_pmpm_ct","float","count per month of prescriptions related to behavioral health drugs in the past one year","yes"
"rx_hum_83_pmpm_ct","float","count per month of prescriptions related to RESPIRATORY - CYSTIC FIBROSIS AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_26_pmpm_ct","float","count per month of prescriptions related to CHOLESTEROL - HOFH AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_ext_heat/hot_subst_pmpm_ct","float","claims per month related to external causes of morbidity : contact with heat and hot substances in the past one year {based on CMS diagnosis code level2}","no"
"rx_specialty_pmpm_cost","float","cost per month of prescriptions related to specialty drugs in the past one year","no"
"cmsd2_gus_kidney_other_pmpm_ct","float","claims per month related to diseases of the genitourinary system : other disorders of kidney and ureter in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_inf_chlamydiae_pmpm_ct","float","claims per month related to certain infectious and parasitic diseases : other diseases caused by chlamydiae in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_res_suppurative/necrotic_pmpm_ct","float","claims per month related to diseases of the respiratory system : suppurative and necrotic conditions of the lower respiratory tract in the past one year {based on CMS diagnosis code level2}","no"
"total_ip_ltach_admit_ct_pmpm","double","admits per month for overall claims related to long term acute hospitalization inpatient facilities in the past one year","no"
"cnt_cp_print_10","integer","count per month of member interactions via print with a lag of _10 from the score date in the past one year","yes"
"cmsd1_men_pmpm_ct","float","claims per month related to mental, behavioral and neurodevelopmental disorders in the past one year {based on CMS diagnosis code level1}","yes"
"cci_dia_c_pmpm_ct","float","count per month of claims related to diabetes with chronic complications in the past one year {Based on Charlson Comorbidity Index Categories}","no"
"cnt_cp_vat_3","integer","count per month of member interactions via vat with a lag of _3 from the score date in the past one year","yes"
"cnt_cp_print_11","integer","count per month of member interactions via print with a lag of _11 from the score date in the past one year","yes"
"bh_ncti_pmpm_ct","float","count per month of behavioral health claims related to neuro cognition disorder: traumatic brain injury in the past one year","no"
"cmsd2_sns_tumor_pmpm_ct","float","claims per month related to symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified : abnormal tumor markers in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_dig_other_dig_pmpm_ct","float","claims per month related to diseases of the digestive system : other diseases of the digestive system in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_men_mad_pmpm_ct","float","claims per month related to mental, behavioral and neurodevelopmental disorders : mood [affective] disorders in the past one year {based on CMS diagnosis code level2}","yes"
"cmsd2_ext_smoke/fire/flames_pmpm_ct","float","claims per month related to external causes of morbidity : exposure to smoke, fire and flames in the past one year {based on CMS diagnosis code level2}","no"
"bh_otgr_pmpm_ct","float","count per month of behavioral health claims related to other gender in the past one year","no"
"rx_hum_62_pmpm_ct","float","count per month of prescriptions related to NEUROLOGY - STIMULANTS drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_35_pmpm_ct","float","count per month of prescriptions related to EAR/MOUTH/THROAT drugs in the past one year {Based on Humana drug classification}","no"
"rx_phar_cat_riteaid_pmpm_ct","float","count per month of prescriptions purchased at riteaid pharmacy in the past one year","no"
"cmsd2_mus_dorsopath_other_pmpm_ct","float","claims per month related to diseases of the musculoskeletal system and connective tissue : other dorsopathies in the past one year {based on CMS diagnosis code level2}","yes"
"rx_hum_08_pmpm_ct","float","count per month of prescriptions related to ANTISEPTIC SUPPLIES drugs in the past one year {Based on Humana drug classification}","no"
"atlas_orchard_farms12","double","Orchard farms","yes"
"rx_hum_23_pmpm_ct","float","count per month of prescriptions related to CHEMOTHERAPY - MULTIPLE MYELOMA AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_46_pmpm_cost","float","cost per month of prescriptions related to HAE AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_inj_wrist/hand/fingers_pmpm_ct","float","claims per month related to injury, poisoning and certain other consequences of external causes : injuries to the wrist, hand and fingers in the past one year {based on CMS diagnosis code level2}","no"
"rev_pm_pertdia_pmpm_cd_ct","float","claim lines per month for a revenue code related to peritoneal dialysis in the past one year","no"
"cnt_cp_webstatement_10","integer","count per month of member interactions via webstatement with a lag of _10 from the score date in the past one year","yes"
"cmsd2_can_mal_res/intrathoracic_pmpm_ct","float","claims per month related to neoplasms : malignant neoplasms of respiratory and intrathoracic organs in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_mus_jaw_pmpm_ct","float","claims per month related to diseases of the musculoskeletal system and connective tissue : dentofacial anomalies [including malocclusion] and other disorders of jaw in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_vco_resistance_pmpm_ct","float","claims per month related to factors influencing health status and contact with health services : resistance to antimicrobial drugs in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_eye_lens_pmpm_ct","float","claims per month related to diseases of the eye and adnexa : disorders of lens in the past one year {based on CMS diagnosis code level2}","yes"
"rev_pm_tel_pmpm_cd_ct","float","claim lines per month for a revenue code related to telemedicine in the past one year","no"
"cmsd2_ear_compl_pmpm_ct","float","claims per month related to diseases of the ear and mastoid process : intraoperative and postprocedural complications and disorders of ear and mastoid process, not elsewhere classified in the past one year {based on CMS diagnosis code level2}","no"
"total_ip_mhsa_admit_days_pmpm","double","admitted days per month for overall claims related to mental health and substance abuse inpatient facilities in the past one year","no"
"rx_hum_90_pmpm_cost","float","cost per month of prescriptions related to TEST SUPPLIES drugs in the past one year {Based on Humana drug classification}","no"
"rx_mail_pmpm_ct","float","count per month of prescriptions related to mail drugs in the past one year","yes"
"rx_hum_69_pmpm_ct","float","count per month of prescriptions related to OPHTHALMOLOGY - GLAUCOMA AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_ext_motorcycle_pmpm_ct","float","claims per month related to external causes of morbidity : motorcycle rider injured in transport accident in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_07_pmpm_ct","float","count per month of prescriptions related to ANTIDOTES drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_ext_water_pmpm_ct","float","claims per month related to external causes of morbidity : water transport accidents in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_pre_pre_other_pmpm_ct","float","claims per month related to pregnancy, childbirth and the puerperium : other maternal disorders predominantly related to pregnancy in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_ner_demyelinating_pmpm_ct","float","claims per month related to diseases of the nervous system : demyelinating diseases of the central nervous system in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_90_pmpm_ct","float","count per month of prescriptions related to TEST SUPPLIES drugs in the past one year {Based on Humana drug classification}","yes"
"cmsd2_inj_foreign_body_pmpm_ct","float","claims per month related to injury, poisoning and certain other consequences of external causes : effects of foreign body entering through natural orifice in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_55_pmpm_ct","float","count per month of prescriptions related to MENTAL HEALTH - ANTIPSYCHOTIC AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_34_pmpm_cost","float","cost per month of prescriptions related to DIABETIC SUPPLIES drugs in the past one year {Based on Humana drug classification}","no"
"cnt_cp_emails_2","integer","count per month of member interactions via emails with a lag of _2 from the score date in the past one year","yes"
"total_outpatient_ds_clm","integer","days since last claim for overall claims related to outpatient facilities in the past one year","yes"
"cnt_cp_livecall_7","integer","count per month of member interactions via livecall with a lag of _7 from the score date in the past one year","no"
"rx_hum_23_pmpm_cost","float","cost per month of prescriptions related to CHEMOTHERAPY - MULTIPLE MYELOMA AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_17_pmpm_ct","float","count per month of prescriptions related to CARDIOLOGY - HYPERTENSION AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_sns_general_pmpm_ct","float","claims per month related to symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified : general symptoms and signs in the past one year {based on CMS diagnosis code level2}","yes"
"rx_phar_cat_humana_pmpm_ct","float","count per month of prescriptions purchased at humana pharmacy in the past one year","no"
"rx_specialty_pmpm_ct","float","count per month of prescriptions related to specialty drugs in the past one year","no"
"cnt_cp_emails_3","integer","count per month of member interactions via emails with a lag of _3 from the score date in the past one year","yes"
"rx_hum_88_pmpm_ct","float","count per month of prescriptions related to STEROIDS - ANDROGENS drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_57_pmpm_cost","float","cost per month of prescriptions related to MENTAL HEALTH - DEPRESSION AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_ano_dig_pmpm_ct","float","claims per month related to congenital malformations, deformations and chromosomal abnormalities : other congenital malformations of the digestive system in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_02_pmpm_cost","float","cost per month of prescriptions related to ANTI-INFECTIVES drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_ano_ner_pmpm_ct","float","claims per month related to congenital malformations, deformations and chromosomal abnormalities : congenital malformations of the nervous system in the past one year {based on CMS diagnosis code level2}","no"
"rev_pm_obsrm_pmpm_cd_ct","float","claim lines per month for a revenue code related to specialty services in the past one year","yes"
"rx_hum_33_pmpm_cost","float","cost per month of prescriptions related to DIABETES drugs in the past one year {Based on Humana drug classification}","no"
"cms_rx_risk_score_nbr","float","Risk score assigned to a member based on pharmacy claims","yes"
"cmsd2_gus_glomerular_pmpm_ct","float","claims per month related to diseases of the genitourinary system : glomerular diseases in the past one year {based on CMS diagnosis code level2}","no"
"rx_phar_cat_caremark_pmpm_ct","float","count per month of prescriptions purchased at caremark pharmacy in the past one year","no"
"total_urgent_care_allowed_pmpm_cost","double","allowed cost per month for overall claims related to urgent care in the past one year","no"
"rx_hum_69_pmpm_cost","float","cost per month of prescriptions related to OPHTHALMOLOGY - GLAUCOMA AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"rwjf_pcp_rate","float","Clinical Care - Primary Care Physicians per 100K population","yes"
"rx_hum_87_pmpm_cost","float","cost per month of prescriptions related to STEROIDS drugs in the past one year {Based on Humana drug classification}","no"
